Atlas_path,Atlas_img,GridSquare_path,GridSquare_name,GridSquare_img,DataAcquisition_path,DataAcquisition_name,shotID,imgshiftID,TimeStamp,rlnAccumMotionEarly,rlnAccumMotionLate,rlnAccumMotionTotal,rlnCtfMaxResolution,n_particles,n_particles_clustered,n_particles_sparse,pct_clustered,pct_sparse,n_clusters_,ptcls_per_mic,ideal_picking,ideal_picking_cryolo,Class2dRes_mean
/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas/Atlas_19493264.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759,GridSquare_19493759,GridSquare_20230919_140816.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759/Data,FoilHole_19513699_Data_19508496_19508498_20230919_154056,19508496,19508498,2023-09-19 15:41:00,8.797983,16.633449,25.431432,3.399507,204.0,54.0,150.0,0.2647058823529412,0.7352941176470589,,204,0.6204298749684148,0.6204298749684148,11.74
/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas/Atlas_19493264.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759,GridSquare_19493759,GridSquare_20230919_140816.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759/Data,FoilHole_19513699_Data_19508540_19508542_20230919_154100,19508540,19508542,2023-09-19 15:41:04,5.807808,20.939724,26.747532,4.194714,202.0,43.0,159.0,0.21287128712871287,0.7871287128712872,,202,0.6143472291353911,0.6143472291353911,11.4
/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas/Atlas_19493264.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759,GridSquare_19493759,GridSquare_20230919_140816.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759/Data,FoilHole_19513699_Data_19508576_19508578_20230919_154104,19508576,19508578,2023-09-19 15:41:08,15.676059,29.012446,44.688504,6.347752,156.0,24.0,132.0,0.15384615384615385,0.8461538461538461,,156,0.47444637497584663,0.47444637497584663,11.31
/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas/Atlas_19493264.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759,GridSquare_19493759,GridSquare_20230919_140816.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759/Data,FoilHole_19513699_Data_19508547_19508549_20230919_154108,19508547,19508549,2023-09-19 15:41:12,6.106459,19.764997,25.871456,3.641097,194.0,45.0,149.0,0.23195876288659795,0.7680412371134021,,194,0.5900166458032964,0.5900166458032964,11.43
/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas/Atlas_19493264.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759,GridSquare_19493759,GridSquare_20230919_140816.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759/Data,FoilHole_19513701_Data_19508519_19508521_20230919_154112,19508519,19508521,2023-09-19 15:41:16,8.68936,20.505486,29.194847,3.351851,209.0,52.0,157.0,0.24880382775119617,0.7511961722488039,,209,0.635636489550974,0.635636489550974,11.25
/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas/Atlas_19493264.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759,GridSquare_19493759,GridSquare_20230919_140816.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759/Data,FoilHole_19513701_Data_19508553_19508555_20230919_154116,19508553,19508555,2023-09-19 15:41:19,4.172684,15.904026,20.076709,3.516157,161.0,34.0,127.0,0.2111801242236025,0.7888198757763976,,161,0.4896529895584058,0.4896529895584058,11.07
/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas/Atlas_19493264.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759,GridSquare_19493759,GridSquare_20230919_140816.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759/Data,FoilHole_19513701_Data_19508558_19508560_20230919_154119,19508558,19508560,2023-09-19 15:41:23,5.19474,18.716813,23.911552,3.351851,198.0,45.0,153.0,0.22727272727272727,0.7727272727272727,,198,0.6021819374693438,0.6021819374693438,11.89
/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas/Atlas_19493264.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759,GridSquare_19493759,GridSquare_20230919_140816.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759/Data,FoilHole_19513701_Data_19508496_19508498_20230919_154123,19508496,19508498,2023-09-19 15:41:27,13.671941,22.294138,35.96608,3.231063,208.0,40.0,168.0,0.19230769230769232,0.8076923076923077,,208,0.6325951666344621,0.6325951666344621,11.15
/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas/Atlas_19493264.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759,GridSquare_19493759,GridSquare_20230919_140816.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759/Data,FoilHole_19513701_Data_19508540_19508542_20230919_154127,19508540,19508542,2023-09-19 15:41:31,5.887785,19.071974,24.959759,4.219388,193.0,65.0,128.0,0.33678756476683935,0.6632124352331606,,193,0.5869753228867846,0.5869753228867846,11.21
/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/atlas/Supervisor_20230919_115905_Atlas_bi23047-106/Sample2/Atlas/Atlas_19493264.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759,GridSquare_19493759,GridSquare_20230919_140816.jpg,/Volumes/T7/eBIC_backup/dls_backup_visit/m07/data/2023/bi23047-106/raw/metadata_Supervisor_20230919_140141_84_bi23047-106_grid1/Images-Disc1/GridSquare_19493759/Data,FoilHole_19513701_Data_19508576_19508578_20230919_154131,19508576,19508578,2023-09-19 15:41:35,22.343284,49.510528,71.853812,6.964039,184.0,39.0,145.0,0.21195652173913043,0.7880434782608695,,184,0.559603416638178,0.559603416638178,11.35
