Session date,Directory,Error,Type,Advisory,Instrument,EPU Session,EPU session date,Supervisor size (GB),Grid_type,I0 set,I0 min int,I0 max int,Grids,Atlas,Setup time (hrs),Total squares,Targeted squares,Collected squares,Average Foils per Square,Movie_dir,Movie_format,Movie_ext,Total_movies,superres bin,Size (TB),Tilt,Collection time (hrs),Rate (mic/hr),Total_EPU_mics,Rate (um^2/hr),Total area (um^2),Mag (X),apix (A/px),Hole (um),Space (um),Hole_measured (um),Space_measured (um),Beam (um),Shots per hole,ShotID,Stage wait (s),AFIS/Accurate,AFIS wait (s),AFIS radius (um),Exposure time (s),Dose rate (e/A2/s),Dose,Total dose (e/A2),Fractions,Fraction dose (e/A2),Defocus max (um),Defocus min (um),Processed,Relion,Jobs,Processed size (TB),Report path,Session report,epuVersion,~rate
06/02/2023,anonymsed,None,SPA,0,Krios4,anonymsed,09/02/2023 14:49,,HoleyCarbon,TRUE,1,1,5,Sample2,0.9,301,5,5,48,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,1187,2,,0,1.9,652,1185,65,118,130000,0.651,1.2,1.3,1.2,1.4,0.7,5,,5,AFIS,0.5,12,1.08,35.335,calibrated,38.2,40,1,-2,-0.5,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-930.0,0.28
17/02/2023,anonymsed,None,SPA,0,Krios4,anonymsed,17/02/2023 12:13,,HoleyCarbon,TRUE,0,1,4,Sample5,2.4,486,60,60,103,anonymsed,Mrc Gain normalized,.mrc,24708,2,,0,57.8,428,24708,113,6543,81000,1.06,2,2,2,2.1,1.3,4,,5,AFIS,0.5,12,4.5,13.242,calibrated,59.6,50,1.2,-2.5,-1.3,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1298.0,0.48
17/02/2023,anonymsed,None,SPA,0,GlcsII,anonymsed,17/02/2023 16:19,,HoleyCarbon,FALSE,0,65535,10,Sample11,0.3,225,6,6,547,anonymsed,Gain normalized,.mrc,6567,1,,0.1,25.1,131,3280,31,782,120000,1.192,1.2,1.3,1.2,1.3,0,1,,5,AFIS,0.5,12,13.5,3.168,estimated,42.8,50,0.9,-3,-1.5,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-787.0,0.13
20/02/2023,anonymsed,None,SPA,0,GlcsII,anonymsed,21/02/2023 15:55,,HoleyCarbon,FALSE,404,2663,6,Sample8,0.2,158,4,4,152,anonymsed,Gain normalized,.mrc,1215,1,,0,4.4,140,606,33,144,120000,1.192,1.2,1.3,1.2,1.3,0,1,,5,AFIS,0.5,12,9.57,3.168,estimated,30.4,40,0.8,-3,-1.2,Y,anonymsed,3,,anonymsed,anonymsed,3.0.0-645.0,0.14
27/02/2023,anonymsed,None,SPA,0,Krios4,anonymsed,27/02/2023 13:35,,HoleyCarbon,TRUE,1,2,4,Sample8,4.1,508,72,72,198,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,26495,2,,0,40,664,26490,108,4291,105000,0.829,1.2,1.3,1.4,1.4,0.9,3,,5,AFIS,0.5,12,1.8,25.581,calibrated,46.1,50,1,-2.4,-0.8,Y,anonymsed,4,,anonymsed,anonymsed,3.0.0-1342.0,0.46
01/03/2023,anonymsed,None,SPA,0,Krios3,anonymsed,01/03/2023 12:12,,HoleyCarbon,FALSE,330,908,6,Sample5,2.8,386,70,70,395,anonymsed,Gain normalized,.eer,11334,1,,0,43,264,11327,61,2606,105000,1.171,0.6,1,0.8,0.9,1,1,,5,AFIS,0.5,12,6.99,5.105,estimated,35.7,Unknown,N.D.,-2.09,-0.89,Y,anonymsed,8,,anonymsed,anonymsed,3.0.0-1111.0,0.26
08/03/2023,anonymsed,None,SPA,1,GlcsII,anonymsed,08/03/2023 14:08,,HoleyCarbon,TRUE,0,1,10,Sample6,0.5,130,18,18,471,anonymsed,Gain normalized,.xml,11236,1,,0.1,42.2,133,5614,19,815,150000,0.93,1.2,1.3,1.5,1.4,0,1,,5,AFIS,0.5,12,13,5.203,estimated,67.7,50,1.4,-2.5,-1,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-597.0,0.08
13/03/2023,anonymsed,None,SPA,0,Krios4,anonymsed,13/03/2023 17:19,,HoleyCarbon,TRUE,0,2,5,Sample3,1,377,76,76,125,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,40434,2,,0,65,623,40424,101,6548,105000,0.829,2,1,2,1.6,0.9,7,,5,AFIS,0.5,12,2.02,24.724,calibrated,50,50,1,-2.7,-1.2,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1087.0,0.43
23/04/2023,anonymsed,None,SPA,0,Krios2,anonymsed,23/04/2023 12:54,,HoleyCarbon,TRUE,1,1,1,Sample8,0.9,369,16,16,196,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,5779,2,,0,19.3,300,5774,49,940,105000,0.831,1.2,1.3,1.2,1.3,0.7,3,,5,AFIS,1,12,3,21.722,estimated,65.2,75,0.9,-2.2,-0.8,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-1062.0,0.21
05/05/2023,anonymsed,None,SPA,0,Krios4,anonymsed,05/05/2023 15:27,,HoleyCarbon,TRUE,1,1,4,Sample3,1.2,238,22,22,342,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,18275,2,,0,50.7,361,18271,58,2960,105000,0.829,1.2,1.3,1.4,1.3,0.9,3,,5,AFIS,0.5,12,2.44,21.827,estimated,53.3,60,0.9,-2.09,-0.7,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-800.0,0.25
05/05/2023,anonymsed,None,SPA,0,Krios4,anonymsed,07/05/2023 19:26,,HoleyCarbon,TRUE,1,1,4,Sample4,1.4,227,18,18,281,anonymsed,Tiff Lzw Non-Gain normalized,.tiff,12609,2,,0,23.1,546,12607,88,2042,105000,0.829,1.2,1.3,1.4,1.4,0.9,3,,2,AFIS,0.3,12,2.44,21.827,estimated,53.3,60,0.9,-2.4,-0.89,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-778.0,0.37
09/05/2023,anonymsed,None,SPA,0,GlcsII,anonymsed,10/05/2023 13:45,,HoleyGold,TRUE,0,22,12,Sample12,1.2,298,44,44,159,anonymsed,Gain normalized,.xml,8370,1,,0,31.1,135,4183,32,997,120000,1.192,1.2,1.3,1.2,1.3,0,1,,5,Accrt,0.5,,11.6,3.168,estimated,36.8,50,0.8,-2.5,-1,Y,anonymsed,3,,anonymsed,anonymsed,3.0.0-930.0,0.14
16/05/2023,anonymsed,None,SPA,0,Krios2,anonymsed,16/05/2023 14:22,,HoleyCarbon,FALSE,630,869,3,Sample4,1.2,62,3,3,140,anonymsed,Tiff Lzw Non-Gain normalized,.xml,1017,2,,0.1,0.7,419,254,113,69,81000,1.072,1.2,1.3,1.3,1.3,1.1,2,,5,AFIS,0.5,12,2.65,13.053,estimated,34.6,60,0.6,-3,-1,Y,anonymsed,2,,anonymsed,anonymsed,3.0.0-446.0,0.48
